query_id,retrieved_docs
011,cte_foc_0001449 cts_soc_0003399 cts_soc_0005346 cts_soc_0000601 cte_foc_0000963 cte_foc_0000920 cdn_foc_0001422 cte_foc_0002936 cts_soc_0004189 cte_foc_0001454 cts_soc_0003453 cdn_foc_0006870 cts_esy_0000206 cte_foc_0000934 cts_foc_0005116 cdn_foc_0006872 cdn_foc_0004024 cdn_foc_0002992 cts_soc_0002426 cte_foc_0001714 cte_foc_0002881 cdn_chi_0001458 cdn_chi_0001469 cts_for_0000839 cts_soc_0006103 cdn_eco_0002931 cdn_soc_0002379 cts_soc_0005778 cts_soc_0004266 cts_soc_0004077 cte_foc_0003546 cdn_foc_0006866 cdn_chi_0001927 cdn_soc_0001617 cdn_soc_0000430 cts_soc_0002407 cte_foc_0003472 cts_pol_0002410 cts_soc_0001509 cts_pol_0002630 cts_soc_0005432 cte_foc_0000940 cte_foc_0001160 cte_foc_0002738 cts_soc_0004301 cts_int_0000870 cdn_foc_0002189 cts_foc_0005135 cts_soc_0000595 cts_soc_0000784 cte_foc_0001873 cts_soc_0003432 cte_foc_0002101 cts_soc_0003240 cdn_foc_0006529 cts_for_0001730 cdn_soc_0002422 ctc_foc_0000875 cdn_foc_0006867 cts_pol_0002651 cts_foc_0001525 cts_foc_0001540 cts_pol_0002401 cte_foc_0002172 cts_pol_0002124 cdn_soc_0003826 cte_foc_0000844 cte_foc_0001616 cts_soc_0004507 cts_pol_0002402 cts_soc_0001935 cts_soc_0000553 cts_for_0000511 cts_soc_0006280 cts_soc_0002736 cts_foc_0003177 cts_pol_0002123 cts_soc_0000219 cte_foc_0002359 cdn_foc_0006636 cte_foc_0000932 cdn_soc_0001238 cts_soc_0002553 cdn_foc_0006865 cts_soc_0003484 cts_soc_0001227 cts_chi_0002211 cte_foc_0002247 ctc_sto_0002772 cdn_foc_0006868 cts_soc_0005852 cts_soc_0003867 cts_foc_0000096 cts_foc_0001318 cte_esy_0000243 cdn_chi_0001174 cdn_soc_0004098 cdn_foc_0005371 cts_soc_0002822 cts_soc_0003018 cts_soc_0004117 cts_for_0001597 cte_foc_0003475 cts_soc_0003934 cdn_foc_0007633 cts_soc_0006242 cdn_chi_0000465 cdn_soc_0000706 cts_int_0000887 ctc_fin_0001416 cte_foc_0002993 cts_soc_0002949 cte_foc_0002682 cts_pol_0001991 cdn_soc_0004319 cts_soc_0006002 cts_soc_0003487 ctc_dep_0001170 cts_chi_0000727 cts_for_0001812 cdn_foc_0001160 cte_foc_0000360 cts_soc_0002810 cts_foc_0004262 cte_foc_0000333 cte_foc_0002480 cts_chi_0000066 cts_soc_0001775 cte_foc_0002144
012,cts_soc_0004991 cts_soc_0004984 cts_for_0001677 cdn_soc_0004840 cts_for_0001697 cdn_soc_0004071 cts_soc_0004752 cts_soc_0005788 cts_soc_0004715 cts_soc_0005420 cts_for_0001971 cdn_edu_0001382 cts_for_0001973 cts_for_0001675 cte_foc_0003562 cts_soc_0005787 cts_soc_0005786 cdn_edu_0000946 cdn_chi_0000855 cts_for_0000692 cts_soc_0005401 cdn_edu_0000220
013,cdn_soc_0002585 cts_esy_0000232 cdn_spo_0000205 cts_for_0001567 cts_soc_0006262 cts_soc_0002633 cdn_spo_0001451 cdn_spo_0001605 cts_soc_0003499 cdn_spo_0000570 cdn_soc_0005118 cdn_spo_0000702 cts_soc_0000949 cdn_spo_0000043 cts_for_0001878 cte_foc_0003726 cdn_spo_0000087 cte_foc_0003538 cts_soc_0003653 cts_soc_0003142 cdn_spo_0000956 cdn_soc_0002583
014,cdn_for_0000192 cts_soc_0000166 cdn_soc_0001663 cdn_soc_0003578 cts_esy_0000489 cdn_soc_0000348 cts_pol_0000716 cdn_soc_0001662 cts_soc_0004771 cts_soc_0000198 cdn_soc_0004423 cdn_soc_0004711 cts_soc_0000334 cts_soc_0006143 cts_for_0002039 cdn_edu_0001269 cdn_soc_0001952 cts_soc_0004772 cts_soc_0000250 cts_soc_0005744 cdn_soc_0003645 cts_for_0000538 cdn_edu_0001386 cdn_soc_0000620 cdn_soc_0001660 cts_for_0000603 cte_foc_0003568 cts_soc_0000094 cdn_soc_0004488 cts_soc_0001351 cdn_soc_0002416 cts_for_0002005 cts_soc_0000312 cts_soc_0005701 cte_foc_0001010 cdn_edu_0000524 cdn_soc_0003570 cdn_soc_0005054
015,cts_ent_0002431 cts_pol_0002068 cts_pol_0001986 cdn_foc_0000182 cts_esy_0000321 cts_foc_0003431 cdn_foc_0003308 cdn_foc_0007502 cts_foc_0003930 cte_foc_0002759 cts_pol_0002130 cdn_foc_0007515 cdn_foc_0003922 cts_foc_0004218 cts_for_0001304 cts_ent_0002422 cdn_foc_0007146 ctc_foc_0003139 cdn_foc_0000755 cdn_foc_0008194 cts_pol_0000532 cdn_soc_0000992 cdn_foc_0007442 cts_ent_0001792 cdn_foc_0007609 cts_pol_0002341 cts_pol_0002104 cdn_foc_0004185 cts_foc_0003543 cts_foc_0003432 cdn_foc_0007145 cdn_ent_0000020 cts_soc_0004001 cts_int_0000476 cdn_foc_0004273 cdn_eco_0002053 ctc_esy_0000233 cdn_foc_0003755 cdn_foc_0003657 cdn_soc_0003320 cdn_foc_0008577 cte_foc_0002254 cts_pol_0000979 cdn_foc_0002362 cts_foc_0002208 cts_art_0001923 cts_for_0001086 cts_foc_0001974 cts_foc_0000144 cts_art_0001241 cts_pol_0001919 cdn_ent_0000217 cts_esy_0000342 cts_for_0001344 cts_foc_0004900 cts_pol_0001103 cts_pol_0003141 cdn_foc_0006376 cdn_foc_0002001 cts_esy_0000258 ctc_dep_0000687 cte_sto_0001135 cts_esy_0000139 cdn_foc_0002808 cte_foc_0003628 cts_esy_0000194 cdn_foc_0002267 cts_pol_0002107 cts_pol_0001730 cdn_foc_0007136 cts_foc_0003610 cts_pol_0001260 cdn_foc_0007335 cts_pol_0001391 cdn_foc_0002645 ctc_foc_0001532 cdn_foc_0000390 cts_foc_0004777 cts_pol_0001640 cts_pol_0000223 cdn_foc_0007432 cts_foc_0004830 cte_foc_0002253 cts_pol_0000350 cts_pol_0000941 cts_soc_0000817 cdn_foc_0003676 cts_ent_0001196 cdn_soc_0003294 cts_soc_0003775 cts_foc_0002585 cdn_foc_0002487 cts_esy_0000515 cte_foc_0000770 cts_ent_0002180 cdn_foc_0002829 cts_for_0000261
016,cdn_soc_0003190 cdn_soc_0000381 cdn_soc_0004868 cts_soc_0001667 cdn_soc_0002633 cdn_soc_0001519 ctc_foc_0000751 cdn_soc_0004149 cdn_soc_0004914 cts_soc_0000100 cdn_soc_0001017 cdn_soc_0002852 cdn_foc_0006188 cdn_soc_0000382 cte_foc_0000656 cte_foc_0000086 cdn_soc_0003887 cdn_foc_0006239 cdn_soc_0002666 cdn_soc_0004448 cdn_soc_0000672 ctc_eco_0000318 cdn_soc_0000119 cdn_foc_0000824 cts_soc_0000772 cdn_soc_0002058 cdn_soc_0001520
017,cts_for_0001597 cts_pol_0000092 cte_foc_0000094 cts_foc_0003787 cts_for_0001812 cts_pol_0002264 cts_pol_0000883 cdn_foc_0000172 cdn_soc_0002887 cts_foc_0004742 cdn_for_0000369 cts_pol_0000152 cdn_foc_0007958 cts_for_0001475 cts_pol_0000007 cts_soc_0000615 cdn_foc_0000799 cts_int_0001079 cdn_foc_0000326 cdn_foc_0000324 cts_foc_0003054 cts_pol_0000913
018,cdn_spo_0000517 cdn_spo_0000907 cdn_spo_0001614 cdn_spo_0000952 cts_foc_0005154 cte_foc_0000140 cdn_spo_0000352 cdn_spo_0000920 cdn_soc_0004314 cdn_soc_0002224 cdn_spo_0000234 cts_for_0001628 cdn_spo_0000563 cte_foc_0000779 cdn_spo_0000505 cdn_spo_0000899 cdn_spo_0000334 cdn_spo_0000541 ctc_fin_0002799 cdn_spo_0000373 cdn_spo_0001451 cts_for_0001365
019,cts_pol_0003207 cts_eco_0003778 cts_int_0002381 cdn_foc_0007932 cts_for_0001097 cdn_chi_0000307 cdn_foc_0005643 cts_int_0002877 cdn_chi_0001477 cts_foc_0004462 cdn_foc_0005644 cdn_chi_0000845 cdn_chi_0001626 cts_for_0000813 cdn_foc_0005534 cdn_soc_0001818 cts_pol_0000673 cdn_foc_0004185 cdn_for_0000571 cdn_foc_0007249 cdn_foc_0006274 cdn_eco_0003764 cts_chi_0002398 cdn_for_0000402 cts_chi_0000181 cts_int_0000843 cts_int_0001150 cts_foc_0002334 cts_chi_0002254 cdn_foc_0001101 cdn_foc_0000337 ctc_chi_0001956 cdn_soc_0001898 cdn_for_0000065 cdn_chi_0000737 cte_foc_0000090 cdn_for_0000162 cdn_foc_0008606 cdn_foc_0002007 cts_foc_0002092 cts_chi_0000252 cts_int_0000972 cdn_soc_0001804 cdn_foc_0004592 cte_foc_0000705 cdn_chi_0000950 cdn_chi_0000648 cdn_chi_0001570 cts_int_0002328 cts_int_0002332 cts_chi_0001731 cts_for_0001694 cts_foc_0002142 cdn_foc_0000789 cdn_foc_0005731 cdn_foc_0005147 cdn_foc_0005916 cts_chi_0001109 cts_int_0000570 cts_pol_0000157 cdn_soc_0003474 cdn_chi_0000499 cts_int_0000188 cdn_chi_0002209 cdn_chi_0002225 cdn_chi_0000187 cte_foc_0000836 cts_pol_0000622 cdn_foc_0006266 cts_pol_0000616 cdn_foc_0004196 cts_int_0000361 cdn_soc_0002890 cdn_foc_0006857 ctc_dep_0001148 cdn_chi_0000375 cdn_chi_0000458 cdn_chi_0001485 cts_chi_0000997 cdn_chi_0000239 cts_for_0001425 cte_foc_0000072 cts_int_0001580 cdn_chi_0000986 ctc_foc_0001532 cdn_chi_0002040 cdn_eco_0003829 cdn_foc_0004829 cdn_foc_0002529 cts_int_0001800 cdn_chi_0002082 cdn_foc_0000829 cts_int_0002707 cts_chi_0002140 cts_esy_0000524 cdn_chi_0002243 cdn_for_0000008 cts_chi_0002420 cts_int_0001129 cdn_for_0000344 cdn_chi_0002055 cdn_for_0000106 cts_chi_0001236 cdn_chi_0001223 cdn_foc_0004951 ctc_foc_0000586 cts_chi_0000625 cdn_chi_0000333 cts_int_0002884 cdn_chi_0002012 cdn_foc_0006953 cdn_chi_0002295 cts_int_0000549 cts_for_0000896 cdn_chi_0000219 cte_foc_0001966 cts_foc_0004543 cts_chi_0000390 cdn_chi_0002006 cdn_foc_0001396 cdn_chi_0001549 cts_foc_0004118 cdn_chi_0000481 cdn_foc_0004516 cdn_chi_0002166 cdn_foc_0001114 cdn_foc_0004150 cts_soc_0005574 cdn_chi_0002061 cts_foc_0004777 cts_for_0001752 cts_foc_0000947 cts_chi_0001598 cdn_chi_0001698 cts_chi_0002346 cts_int_0000510 cdn_foc_0000936 ctc_foc_0003455 cts_foc_0004122 cdn_foc_0006966 cdn_for_0000110 cts_pol_0001323 cdn_foc_0005458 cdn_for_0000289 cts_int_0000625 cdn_foc_0006843 cdn_foc_0007489 cts_int_0000120 cdn_chi_0000068 cdn_chi_0000397
020,cts_foc_0005252 cts_int_0002499 cts_int_0002449 cts_int_0002663 cts_int_0001459 ctc_eco_0001512 cts_int_0001500 cts_chi_0002222 cdn_foc_0008422 cts_int_0002835 cts_int_0002343 ctc_eco_0001542 cts_int_0002461 cts_int_0002840 cdn_foc_0008601 cts_int_0002833 cts_int_0002723 cts_int_0002759 cts_int_0000401 cts_int_0002758 cdn_foc_0008510 cts_int_0002742 cdn_foc_0008499 cts_foc_0005081 cts_int_0002937 cts_int_0001507 cts_int_0002751 cts_foc_0005110 cts_for_0002078 cts_int_0002352 cdn_foc_0008491 cts_int_0002687 cts_pol_0000152 cdn_foc_0005529 cts_int_0002454 cts_int_0002939 cts_for_0001990 cte_foc_0000094 cdn_soc_0004738 cdn_foc_0008414 cts_int_0000492 cts_int_0002696 cdn_foc_0008487 cdn_soc_0003247 cts_int_0002688 cts_int_0002741 cte_foc_0003560 ctc_eco_0001275 cts_int_0002740 cts_int_0002719 cts_int_0002665 cts_int_0001553 cts_int_0002711 cts_for_0001996 cts_int_0002781 cdn_foc_0004774 cts_pol_0000789 cdn_for_0000435 cts_int_0002718 cts_chi_0001177 cdn_chi_0000896 cts_foc_0003787 cts_pol_0000937 cdn_for_0000415 cts_foc_0004016 cdn_for_0000401 cts_int_0002780
